item_id,phase,condition,branch,layer,token_id,score,raw_rank
1,discovery,clean_preserved,correctness,38,97817,11.625,44
1,discovery,clean_preserved,correctness,38,99973,12.3125,34
1,discovery,clean_preserved,correctness,40,97817,12.875,29
1,discovery,clean_preserved,correctness,40,99973,13.6875,16
1,discovery,clean_preserved,correctness,42,97817,15.0625,8
1,discovery,clean_preserved,correctness,42,99973,15.5625,5
1,discovery,clean_preserved,confidence,38,97817,9.375,117
1,discovery,clean_preserved,confidence,38,99973,12.0,27
1,discovery,clean_preserved,confidence,40,97817,9.8125,89
1,discovery,clean_preserved,confidence,40,99973,12.3125,24
1,discovery,clean_preserved,confidence,42,97817,9.875,80
1,discovery,clean_preserved,confidence,42,99973,12.625,16
1,discovery,targeted_strong_preserved,correctness,38,97817,11.5625,46
1,discovery,targeted_strong_preserved,correctness,38,99973,12.3125,34
1,discovery,targeted_strong_preserved,correctness,40,97817,12.875,30
1,discovery,targeted_strong_preserved,correctness,40,99973,13.6875,16
1,discovery,targeted_strong_preserved,correctness,42,97817,15.125,8
1,discovery,targeted_strong_preserved,correctness,42,99973,15.625,6
1,discovery,targeted_strong_preserved,confidence,38,97817,9.375,122
1,discovery,targeted_strong_preserved,confidence,38,99973,12.0625,26
1,discovery,targeted_strong_preserved,confidence,40,97817,9.8125,91
1,discovery,targeted_strong_preserved,confidence,40,99973,12.3125,24
1,discovery,targeted_strong_preserved,confidence,42,97817,9.875,80
1,discovery,targeted_strong_preserved,confidence,42,99973,12.6875,16
1,discovery,random_strong_preserved,correctness,38,97817,11.625,44
1,discovery,random_strong_preserved,correctness,38,99973,12.375,33
1,discovery,random_strong_preserved,correctness,40,97817,12.875,29
1,discovery,random_strong_preserved,correctness,40,99973,13.6875,16
1,discovery,random_strong_preserved,correctness,42,97817,15.125,8
1,discovery,random_strong_preserved,correctness,42,99973,15.625,5
1,discovery,random_strong_preserved,confidence,38,97817,9.375,119
1,discovery,random_strong_preserved,confidence,38,99973,12.0,28
1,discovery,random_strong_preserved,confidence,40,97817,9.8125,89
1,discovery,random_strong_preserved,confidence,40,99973,12.3125,24
1,discovery,random_strong_preserved,confidence,42,97817,9.8125,85
1,discovery,random_strong_preserved,confidence,42,99973,12.625,16
1,discovery,support_matched_alternative_preserved,correctness,38,97817,11.625,46
1,discovery,support_matched_alternative_preserved,correctness,38,99973,12.3125,35
1,discovery,support_matched_alternative_preserved,correctness,40,97817,12.9375,29
