item_id,item_type,condition,domain,difficulty,analysis_family,is_primary_estimand,attempt_order,intervention_mode,intervention_scope,direction_source_selector,direction_source_position,localized_target_selector,localized_target_position,applied_prompt_position_count,steer_generated,max_injection_fraction,requested_strength,effective_strength_after_cap,feature_label,feature_id,token_id,direction_sha256,layer,layer_selection_reason,raw_rank,word_filtered_rank,rank_policy,baseline_output_raw,baseline_output_normalized,intervened_output_raw,intervened_output_normalized,baseline_valid,intervened_valid,labels,expected_judgment,factual_correct,baseline_judgment_correct,intervened_judgment_correct,baseline_margin,intervened_margin,delta_margin,baseline_oriented_margin,intervened_oriented_margin,delta_oriented_margin,candidate_score_before,candidate_score_after,flipped,flip_effect,generated_positions_steered,duration_seconds
0,calibration,self,physics,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.7,-1.0,评估,vocab_token:99973,99973,c55ca3df206b88ee4dcaf291e77b8830ab68243ed25460e77d6d850604e7a107,40,frozen_layer_40_no_rank_gate,51,19,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.125120193619978,2.5358199117918048,-8.589300281828173,11.125120193619978,2.5358199117918048,-8.589300281828173,11.1875,-29.75,False,no_flip,True,1.361675901338458
0,calibration,other,physics,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.7,-1.0,评估,vocab_token:99973,99973,c55ca3df206b88ee4dcaf291e77b8830ab68243ed25460e77d6d850604e7a107,40,frozen_layer_40_no_rank_gate,12,2,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,9.750137330415896,2.541664552534712,-7.208472777881184,9.750137330415896,2.541664552534712,-7.208472777881184,13.3125,-29.375,False,no_flip,True,1.3395574912428856
0,calibration,self,physics,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.8,-1.0,评估,vocab_token:99973,99973,c55ca3df206b88ee4dcaf291e77b8830ab68243ed25460e77d6d850604e7a107,40,frozen_layer_40_no_rank_gate,51,19,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,11.125120193619978,2.6706826027020725,-8.454437590917905,11.125120193619978,2.6706826027020725,-8.454437590917905,11.1875,-29.75,False,no_flip,True,1.3362625893205404
0,calibration,other,physics,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,81,,,100,True,1.0,-1.8,-1.0,评估,vocab_token:99973,99973,c55ca3df206b88ee4dcaf291e77b8830ab68243ed25460e77d6d850604e7a107,40,frozen_layer_40_no_rank_gate,12,2,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,9.750137330415896,2.6666239431706344,-7.083513387245262,9.750137330415896,2.6666239431706344,-7.083513387245262,13.3125,-29.375,False,no_flip,True,1.3424856420606375
1,calibration,self,astronomy,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,74,,,93,True,1.0,-1.7,-1.0,评估,vocab_token:99973,99973,c55ca3df206b88ee4dcaf291e77b8830ab68243ed25460e77d6d850604e7a107,40,frozen_layer_40_no_rank_gate,46,20,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,12.750043398727712,2.6308060632418346,-10.119237335485877,12.750043398727712,2.6308060632418346,-10.119237335485877,11.25,-29.625,False,no_flip,True,1.2776814009994268
1,calibration,other,astronomy,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,74,,,93,True,1.0,-1.7,-1.0,评估,vocab_token:99973,99973,c55ca3df206b88ee4dcaf291e77b8830ab68243ed25460e77d6d850604e7a107,40,frozen_layer_40_no_rank_gate,12,2,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,10.625119209112881,2.396877142666199,-8.228242066446683,10.625119209112881,2.396877142666199,-8.228242066446683,13.125,-29.5,False,no_flip,True,1.2905262876302004
1,calibration,self,astronomy,1,paired_primary,True,3,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,74,,,93,True,1.0,-1.8,-1.0,评估,vocab_token:99973,99973,c55ca3df206b88ee4dcaf291e77b8830ab68243ed25460e77d6d850604e7a107,40,frozen_layer_40_no_rank_gate,46,20,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,12.750043398727712,2.6305627151905355,-10.119480683537176,12.750043398727712,2.6305627151905355,-10.119480683537176,11.25,-29.625,False,no_flip,True,1.2887152787297964
1,calibration,other,astronomy,1,paired_primary,True,4,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,74,,,93,True,1.0,-1.8,-1.0,评估,vocab_token:99973,99973,c55ca3df206b88ee4dcaf291e77b8830ab68243ed25460e77d6d850604e7a107,40,frozen_layer_40_no_rank_gate,12,2,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,10.625119209112881,2.3969438419553626,-8.228175367157519,10.625119209112881,2.3969438419553626,-8.228175367157519,13.125,-29.5,False,no_flip,True,1.2765954416245222
2,calibration,self,geography,1,paired_primary,True,1,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,75,,,94,True,1.0,-1.7,-1.0,评估,vocab_token:99973,99973,c55ca3df206b88ee4dcaf291e77b8830ab68243ed25460e77d6d850604e7a107,40,frozen_layer_40_no_rank_gate,63,27,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,6.250055580101389,2.1294950575129405,-4.120560522588448,6.250055580101389,2.1294950575129405,-4.120560522588448,10.8125,-29.625,False,no_flip,True,1.3275754284113646
2,calibration,other,geography,1,paired_primary,True,2,neuronpedia_global,all_prompt_positions_and_generated_tokens,question_mark,75,,,94,True,1.0,-1.7,-1.0,评估,vocab_token:99973,99973,c55ca3df206b88ee4dcaf291e77b8830ab68243ed25460e77d6d850604e7a107,40,frozen_layer_40_no_rank_gate,17,2,raw_rank,CORRECT,CORRECT,CORRECT,CORRECT,True,True,CORRECT/INCORRECT,CORRECT,True,True,True,8.37507897664409,1.9083797126386344,-6.466699264005456,8.37507897664409,1.9083797126386344,-6.466699264005456,12.8125,-29.375,False,no_flip,True,1.3990403078496456
