item_id,candidate_rank,candidate_label,candidate_layer,candidate_token_id,candidate_orientation,branch,condition,intervention_layer,support_drop,candidate_score,oriented_candidate_score,choice_margin
0,1, UIImagePickerController,42,75075,-1,correctness,clean_preserved,,0.0,1.46875,-1.46875,10.125294039272035
0,1, UIImagePickerController,42,75075,-1,correctness,targeted_weak_preserved,31,1.8037892298654015,1.4765625,-1.4765625,9.500190711237565
0,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_preserved,31,2.125924800486814,1.453125,-1.453125,9.87519511711048
0,1, UIImagePickerController,42,75075,-1,correctness,random_strong_preserved,31,-5.482993060468289e-06,1.4609375,-1.4609375,10.375264150879389
0,1, UIImagePickerController,42,75075,-1,correctness,support_matched_alternative_preserved,23,2.236915813007613,1.40625,-1.40625,7.625223466131274
0,1, UIImagePickerController,42,75075,-1,correctness,alternative_random_preserved,23,0.0001889266186481109,1.4765625,-1.4765625,10.875265412879116
0,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_reset,31,2.125924800486814,1.46875,-1.46875,10.125294039272035
0,1, UIImagePickerController,42,75075,-1,confidence,clean_preserved,,0.0,2.75,-2.75,9.751251609603912
0,1, UIImagePickerController,42,75075,-1,confidence,targeted_weak_preserved,31,1.8037892298654015,2.71875,-2.71875,9.126103140453274
0,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_preserved,31,2.125924800486814,2.703125,-2.703125,9.501246332114256
0,1, UIImagePickerController,42,75075,-1,confidence,random_strong_preserved,31,-5.482993060468289e-06,2.75,-2.75,10.126017187701763
0,1, UIImagePickerController,42,75075,-1,confidence,support_matched_alternative_preserved,23,2.236915813007613,2.65625,-2.65625,7.876174928459541
0,1, UIImagePickerController,42,75075,-1,confidence,alternative_random_preserved,23,0.0001889266186481109,2.765625,-2.765625,9.501327934621003
0,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_reset,31,2.125924800486814,2.75,-2.75,9.751251609603912
2,1, UIImagePickerController,42,75075,-1,correctness,clean_preserved,,0.0,1.671875,-1.671875,7.625089605255539
