item_id,item_type,domain,difficulty,labels,candidate_token_id,candidate_layer,factual_answer,factual_answer_sha256,same_question_and_answer,requested_strength,effective_strength_self,effective_strength_other,candidate_score_self,candidate_rank_self,candidate_word_filtered_rank_self,candidate_score_other,candidate_rank_other,candidate_word_filtered_rank_other,self_minus_other_candidate_score,candidate_rank_self_minus_other,baseline_margin_self,baseline_margin_other,baseline_oriented_margin_self,baseline_oriented_margin_other,intervened_margin_self,intervened_margin_other,steering_delta_raw_self,steering_delta_raw_other,steering_delta_self,steering_delta_other,self_minus_other_steering_effect,baseline_output_self,baseline_output_other,intervened_output_self,intervened_output_other,flipped_self,flipped_other,flip_effect_self,flip_effect_other
0,calibration,physics,1,CORRECT/INCORRECT,99973,40,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,11.1875,51,19,13.3125,12,2,-2.125,39,11.125120193619978,9.750137330415896,11.125120193619978,9.750137330415896,2.5358199117918048,2.541664552534712,-8.589300281828173,-7.208472777881184,-8.589300281828173,-7.208472777881184,-1.380827503946989,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
0,calibration,physics,1,CORRECT/INCORRECT,99973,40,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,11.1875,51,19,13.3125,12,2,-2.125,39,11.125120193619978,9.750137330415896,11.125120193619978,9.750137330415896,2.6706826027020725,2.6666239431706344,-8.454437590917905,-7.083513387245262,-8.454437590917905,-7.083513387245262,-1.3709242036726437,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
1,calibration,astronomy,1,CORRECT/INCORRECT,99973,40,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,11.25,46,20,13.125,12,2,-1.875,34,12.750043398727712,10.625119209112881,12.750043398727712,10.625119209112881,2.6308060632418346,2.396877142666199,-10.119237335485877,-8.228242066446683,-10.119237335485877,-8.228242066446683,-1.8909952690391947,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
1,calibration,astronomy,1,CORRECT/INCORRECT,99973,40,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,11.25,46,20,13.125,12,2,-1.875,34,12.750043398727712,10.625119209112881,12.750043398727712,10.625119209112881,2.6305627151905355,2.3969438419553626,-10.119480683537176,-8.228175367157519,-10.119480683537176,-8.228175367157519,-1.8913053163796576,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
2,calibration,geography,1,CORRECT/INCORRECT,99973,40,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.8125,63,27,12.8125,17,2,-2.0,46,6.250055580101389,8.37507897664409,6.250055580101389,8.37507897664409,2.1294950575129405,1.9083797126386344,-4.120560522588448,-6.466699264005456,-4.120560522588448,-6.466699264005456,2.3461387414170076,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
2,calibration,geography,1,CORRECT/INCORRECT,99973,40,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.8125,63,27,12.8125,17,2,-2.0,46,6.250055580101389,8.37507897664409,6.250055580101389,8.37507897664409,2.254823989590477,1.9044655108464212,-3.9952315905109117,-6.470613465797669,-3.9952315905109117,-6.470613465797669,2.4753818752867573,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
3,calibration,biology,1,CORRECT/INCORRECT,99973,40,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,12.0625,37,16,13.5625,10,2,-1.5,27,13.187558110143073,10.12513876683397,13.187558110143073,10.12513876683397,2.5017844602298283,2.251190923205286,-10.685773649913244,-7.8739478436286845,-10.685773649913244,-7.8739478436286845,-2.81182580628456,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
3,calibration,biology,1,CORRECT/INCORRECT,99973,40,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,12.0625,37,16,13.5625,10,2,-1.5,27,13.187558110143073,10.12513876683397,13.187558110143073,10.12513876683397,2.376537380022455,2.376194081365611,-10.811020730120617,-7.748944685468359,-10.811020730120617,-7.748944685468359,-3.062076044652258,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
4,calibration,chemistry,1,CORRECT/INCORRECT,99973,40,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.875,61,24,13.375,12,2,-2.5,49,11.062635756588406,11.000142574426945,11.062635756588406,11.000142574426945,2.8781695094421593,2.5311514015902503,-8.184466247146247,-8.468991172836695,-8.184466247146247,-8.468991172836695,0.28452492569044807,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
4,calibration,chemistry,1,CORRECT/INCORRECT,99973,40,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.875,61,24,13.375,12,2,-2.5,49,11.062635756588406,11.000142574426945,11.062635756588406,11.000142574426945,2.8777975210632576,2.652505769079653,-8.184838235525149,-8.347636805347292,-8.184838235525149,-8.347636805347292,0.1627985698221437,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
