item_id,item_type,domain,difficulty,condition,labels,factual_prompt,factual_answer,factual_answer_sha256,answer_key,factual_correct,factual_response_invalid,scoring_method,evaluation_prompt,question_mark_position,question_mark_token,candidate_token_id,candidate_layer,candidate_score,candidate_rank,candidate_word_filtered_rank,candidate_in_top_k,baseline_output_raw,baseline_output_normalized,baseline_valid,baseline_judgment_correct,baseline_margin,baseline_oriented_margin
0,calibration,physics,1,self,CORRECT/INCORRECT,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Water boils at 100 degrees Celsius at standard atmospheric pressure.""",Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your answer CORRECT or INCORRECT? Reply exactly CORRECT or INCORRECT.,81,?,99973,40,11.1875,51,19,False,CORRECT,CORRECT,True,True,11.125120193619978,11.125120193619978
0,calibration,physics,1,other,CORRECT/INCORRECT,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Water boils at 100 degrees Celsius at standard atmospheric pressure.""",Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,TRUE,True,False,regex_search_ignorecase_original_notebook,Is their answer CORRECT or INCORRECT? Reply exactly CORRECT or INCORRECT.,81,?,99973,40,13.3125,12,2,True,CORRECT,CORRECT,True,True,9.750137330415896,9.750137330415896
1,calibration,astronomy,1,self,CORRECT/INCORRECT,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Earth orbits around the Moon.""",Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your answer CORRECT or INCORRECT? Reply exactly CORRECT or INCORRECT.,74,?,99973,40,11.25,46,20,True,CORRECT,CORRECT,True,True,12.750043398727712,12.750043398727712
1,calibration,astronomy,1,other,CORRECT/INCORRECT,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Earth orbits around the Moon.""",Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,FALSE,True,False,regex_search_ignorecase_original_notebook,Is their answer CORRECT or INCORRECT? Reply exactly CORRECT or INCORRECT.,74,?,99973,40,13.125,12,2,True,CORRECT,CORRECT,True,True,10.625119209112881,10.625119209112881
2,calibration,geography,1,self,CORRECT/INCORRECT,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Tokyo is the capital of Japan.""",Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your answer CORRECT or INCORRECT? Reply exactly CORRECT or INCORRECT.,75,?,99973,40,10.8125,63,27,False,CORRECT,CORRECT,True,True,6.250055580101389,6.250055580101389
2,calibration,geography,1,other,CORRECT/INCORRECT,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Tokyo is the capital of Japan.""",Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,TRUE,True,False,regex_search_ignorecase_original_notebook,Is their answer CORRECT or INCORRECT? Reply exactly CORRECT or INCORRECT.,75,?,99973,40,12.8125,17,2,True,CORRECT,CORRECT,True,True,8.37507897664409,8.37507897664409
3,calibration,biology,1,self,CORRECT/INCORRECT,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Humans have four lungs.""",Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your answer CORRECT or INCORRECT? Reply exactly CORRECT or INCORRECT.,72,?,99973,40,12.0625,37,16,True,CORRECT,CORRECT,True,True,13.187558110143073,13.187558110143073
3,calibration,biology,1,other,CORRECT/INCORRECT,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Humans have four lungs.""",Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,FALSE,True,False,regex_search_ignorecase_original_notebook,Is their answer CORRECT or INCORRECT? Reply exactly CORRECT or INCORRECT.,72,?,99973,40,13.5625,10,2,True,CORRECT,CORRECT,True,True,10.12513876683397,10.12513876683397
4,calibration,chemistry,1,self,CORRECT/INCORRECT,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The chemical symbol for gold is Au.""",Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your answer CORRECT or INCORRECT? Reply exactly CORRECT or INCORRECT.,75,?,99973,40,10.875,61,24,False,CORRECT,CORRECT,True,True,11.062635756588406,11.062635756588406
4,calibration,chemistry,1,other,CORRECT/INCORRECT,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The chemical symbol for gold is Au.""",Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,TRUE,True,False,regex_search_ignorecase_original_notebook,Is their answer CORRECT or INCORRECT? Reply exactly CORRECT or INCORRECT.,75,?,99973,40,13.375,12,2,True,CORRECT,CORRECT,True,True,11.000142574426945,11.000142574426945
