item_id,prompt,item_type,answer_key,difficulty,domain,detail
0,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Water boils at 100 degrees Celsius at standard atmospheric pressure.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,1,physics,Water boils at 100 degrees Celsius at standard atmospheric pressure.
1,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Earth orbits around the Moon.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,1,astronomy,The Earth orbits around the Moon.
2,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Tokyo is the capital of Japan.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,1,geography,Tokyo is the capital of Japan.
3,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Humans have four lungs.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,1,biology,Humans have four lungs.
4,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The chemical symbol for gold is Au.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,1,chemistry,The chemical symbol for gold is Au.
5,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Great Wall of China is visible from the Moon with the naked eye.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,1,geography,The Great Wall of China is visible from the Moon with the naked eye.
6,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""DNA stands for deoxyribonucleic acid.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,1,biology,DNA stands for deoxyribonucleic acid.
7,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Sound travels faster than light.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,1,physics,Sound travels faster than light.
8,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Shakespeare wrote Romeo and Juliet.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,1,literature,Shakespeare wrote Romeo and Juliet.
9,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Amazon River is the longest river in the world.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,1,geography,The Amazon River is the longest river in the world.
10,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The human body has 206 bones in adulthood.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,2,biology,The human body has 206 bones in adulthood.
11,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Lightning never strikes the same place twice.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,2,physics,Lightning never strikes the same place twice.
12,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Venus is the hottest planet in our solar system.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,2,astronomy,Venus is the hottest planet in our solar system.
13,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The speed of light is approximately 300,000 metres per second.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,2,physics,"The speed of light is approximately 300,000 metres per second."
14,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Antibiotics are effective against viruses.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,2,medicine,Antibiotics are effective against viruses.
15,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Octopuses have three hearts.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,2,biology,Octopuses have three hearts.
16,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Mount Everest is located in the Andes mountain range.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,2,geography,Mount Everest is located in the Andes mountain range.
17,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Photosynthesis converts carbon dioxide and water into glucose and oxygen.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,2,biology,Photosynthesis converts carbon dioxide and water into glucose and oxygen.
18,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Sahara is the largest desert in the world.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,2,geography,The Sahara is the largest desert in the world.
19,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Mammals are warm-blooded animals.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,2,biology,Mammals are warm-blooded animals.
20,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The mitochondria are sometimes called the powerhouse of the cell.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,3,biology,The mitochondria are sometimes called the powerhouse of the cell.
21,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The pH of pure water is 0, indicating perfect neutrality.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,3,chemistry,"The pH of pure water is 0, indicating perfect neutrality."
22,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Treaty of Westphalia was signed in 1648.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,3,history,The Treaty of Westphalia was signed in 1648.
23,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Serotonin is primarily produced in the brain.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,3,neuroscience,Serotonin is primarily produced in the brain.
24,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Doppler effect applies to both sound and light waves.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,3,physics,The Doppler effect applies to both sound and light waves.
25,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The hippocampus is primarily involved in processing visual information.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,3,neuroscience,The hippocampus is primarily involved in processing visual information.
26,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Helium is the second most abundant element in the observable universe.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,3,chemistry,Helium is the second most abundant element in the observable universe.
27,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Rosetta Stone was written in two languages: Greek and Egyptian hieroglyphics.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,3,history,The Rosetta Stone was written in two languages: Greek and Egyptian hieroglyphics.
28,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Bayes' theorem was first published by Thomas Bayes himself during his lifetime.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,3,mathematics,Bayes' theorem was first published by Thomas Bayes himself during his lifetime.
29,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The speed of sound in air at sea level is approximately 343 metres per second.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,3,physics,The speed of sound in air at sea level is approximately 343 metres per second.
30,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Weber's Law states that the just-noticeable difference is proportional to the stimulus magnitude.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,4,psychophysics,Weber's Law states that the just-noticeable difference is proportional to the stimulus magnitude.
31,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Flynn effect refers to the decline in IQ scores over generations.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,4,psychology,The Flynn effect refers to the decline in IQ scores over generations.
32,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Chomsky's poverty of the stimulus argument supports empiricist accounts of language acquisition.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,4,linguistics,Chomsky's poverty of the stimulus argument supports empiricist accounts of language acquisition.
33,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""In signal detection theory, d-prime measures response bias.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,4,psychophysics,"In signal detection theory, d-prime measures response bias."
