item_id,item_type,domain,difficulty,labels,factual_answer,factual_answer_sha256,same_question_and_answer,requested_strength,effective_strength_self,effective_strength_other,candidate_score_self,candidate_rank_self,candidate_word_filtered_rank_self,candidate_score_other,candidate_rank_other,candidate_word_filtered_rank_other,self_minus_other_candidate_score,candidate_rank_self_minus_other,baseline_margin_self,baseline_margin_other,baseline_oriented_margin_self,baseline_oriented_margin_other,intervened_margin_self,intervened_margin_other,steering_delta_raw_self,steering_delta_raw_other,steering_delta_self,steering_delta_other,self_minus_other_steering_effect,baseline_output_self,baseline_output_other,intervened_output_self,intervened_output_other,flipped_self,flipped_other,flip_effect_self,flip_effect_other
0,calibration,physics,1,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.5625,74,28,13.125,14,3,-2.5625,60,11.125120193619978,9.750137330415896,11.125120193619978,9.750137330415896,2.265556201877189,0.8795450066681951,-8.859563991742789,-8.870592323747701,-8.859563991742789,-8.870592323747701,0.011028332004912045,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
0,calibration,physics,1,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.5625,74,28,13.125,14,3,-2.5625,60,11.125120193619978,9.750137330415896,11.125120193619978,9.750137330415896,2.193521945606335,0.8800366036302876,-8.931598248013643,-8.870100726785608,-8.931598248013643,-8.870100726785608,-0.0614975212280342,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
1,calibration,astronomy,1,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,10.875,59,27,12.875,15,3,-2.0,44,12.750043398727712,10.625119209112881,12.750043398727712,10.625119209112881,2.1567870343569666,1.0430270694196224,-10.593256364370745,-9.582092139693259,-10.593256364370745,-9.582092139693259,-1.0111642246774863,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
1,calibration,astronomy,1,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,10.875,59,27,12.875,15,3,-2.0,44,12.750043398727712,10.625119209112881,12.750043398727712,10.625119209112881,2.1540062890635454,1.0347326664777938,-10.596037109664167,-9.590386542635088,-10.596037109664167,-9.590386542635088,-1.005650567029079,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
2,calibration,geography,1,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.5625,75,32,12.75,18,3,-2.1875,57,6.250055580101389,8.37507897664409,6.250055580101389,8.37507897664409,0.87934259751637,0.629958454563166,-5.370712982585019,-7.745120522080924,-5.370712982585019,-7.745120522080924,2.3744075394959054,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
2,calibration,geography,1,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.5625,75,32,12.75,18,3,-2.1875,57,6.250055580101389,8.37507897664409,6.250055580101389,8.37507897664409,0.8789349212747766,0.629631743664504,-5.371120658826612,-7.745447232979586,-5.371120658826612,-7.745447232979586,2.374326574152974,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
3,calibration,biology,1,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,11.5,52,24,13.375,11,3,-1.875,41,13.187558110143073,10.12513876683397,13.187558110143073,10.12513876683397,2.142060109632439,0.8906857861438766,-11.045498000510634,-9.234452980690094,-11.045498000510634,-9.234452980690094,-1.81104501982054,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
3,calibration,biology,1,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,11.5,52,24,13.375,11,3,-1.875,41,13.187558110143073,10.12513876683397,13.187558110143073,10.12513876683397,2.2654921819485025,1.0181731128250249,-10.92206592819457,-9.106965654008945,-10.92206592819457,-9.106965654008945,-1.8151002741856246,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
4,calibration,chemistry,1,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.3125,85,32,13.375,12,2,-3.0625,73,11.062635756588406,11.000142574426945,11.062635756588406,11.000142574426945,2.40389564986981,1.25231398975302,-8.658740106718597,-9.747828584673925,-8.658740106718597,-9.747828584673925,1.089088477955329,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
4,calibration,chemistry,1,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.3125,85,32,13.375,12,2,-3.0625,73,11.062635756588406,11.000142574426945,11.062635756588406,11.000142574426945,2.2781993213138776,1.2522759841376683,-8.784436435274529,-9.747866590289277,-8.784436435274529,-9.747866590289277,0.9634301550147484,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
