item_id,item_type,condition,domain,difficulty,pre_meta_output_raw,pre_meta_output_normalized,pre_meta_valid,factual_answer,answer_key,factual_correct,factual_response_invalid,scoring_method,judgment_prompt,judgment_labels,expected_judgment,baseline_output_raw,baseline_output_normalized,baseline_valid,baseline_judgment_correct,baseline_margin,baseline_oriented_margin,direction_source_selector,direction_source_position,direction_source_token,primary_candidate_token_id,primary_layer,primary_raw_rank,primary_word_filtered_rank,primary_visible,primary_status,primary_negative_flipped,primary_positive_flipped,adaptive_status
0,calibration,self,physics,1,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,11.125347222871085,11.125347222871085,question_mark,79,?,97817,40,31,10,True,completed_no_flip,False,False,no_flip
1,calibration,self,astronomy,1,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,14.06272528657621,14.06272528657621,question_mark,72,?,97817,40,39,14,True,completed_no_flip,False,False,no_flip
2,calibration,self,geography,1,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,10.000112059513526,10.000112059513526,question_mark,73,?,97817,40,23,5,True,completed_no_flip,False,False,no_flip
3,calibration,self,biology,1,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,14.625491636368793,14.625491636368793,question_mark,70,?,97817,40,36,13,True,completed_no_flip,False,False,no_flip
4,calibration,self,chemistry,1,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.500292870248927,12.500292870248927,question_mark,73,?,97817,40,36,13,True,completed_no_flip,False,False,no_flip
5,calibration,self,geography,1,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,14.000392035741413,14.000392035741413,question_mark,80,?,97817,40,18,4,True,completed_no_flip,False,False,no_flip
6,calibration,self,biology,1,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,13.375494251358873,13.375494251358873,question_mark,76,?,97817,40,30,10,True,completed_no_flip,False,False,no_flip
7,calibration,self,physics,1,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,14.250212297507574,14.250212297507574,question_mark,71,?,97817,40,31,9,True,completed_no_flip,False,False,no_flip
8,calibration,self,literature,1,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,8.625260414360241,8.625260414360241,question_mark,72,?,97817,40,32,11,True,completed_with_flip,True,False,not_run_primary_flipped
9,calibration,self,geography,1,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,7.000410837016034,7.000410837016034,question_mark,76,?,97817,40,24,5,True,completed_no_flip,False,False,no_flip
10,calibration,self,biology,2,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,2.6251447552942864,2.6251447552942864,question_mark,77,?,97817,40,28,9,True,completed_with_flip,True,False,not_run_primary_flipped
