stratum_type,stratum,strength,samples,flips,rescues,harms,flip_rate,wilson_95%
condition,self,-1.7,4,1,1,0,0.25,"[0.0456, 0.6994]"
condition,self,1.8,4,1,0,1,0.25,"[0.0456, 0.6994]"
baseline judgment,FAIL,-1.7,1,0,0,0,0.0,"[0.0000, 0.7935]"
baseline judgment,PASS,-1.7,3,1,1,0,0.3333,"[0.0615, 0.7923]"
baseline judgment,FAIL,1.8,1,1,0,1,1.0,"[0.2065, 1.0000]"
baseline judgment,PASS,1.8,3,0,0,0,0.0,"[0.0000, 0.5615]"
difficulty,easy,-1.7,1,0,0,0,0.0,"[0.0000, 0.7935]"
difficulty,guess,-1.7,1,1,1,0,1.0,"[0.2065, 1.0000]"
difficulty,hard,-1.7,2,0,0,0,0.0,"[0.0000, 0.6576]"
difficulty,easy,1.8,1,0,0,0,0.0,"[0.0000, 0.7935]"
difficulty,guess,1.8,1,0,0,0,0.0,"[0.0000, 0.7935]"
difficulty,hard,1.8,2,1,0,1,0.5,"[0.0945, 0.9055]"
factual correctness,False,-1.7,2,1,1,0,0.5,"[0.0945, 0.9055]"
factual correctness,True,-1.7,2,0,0,0,0.0,"[0.0000, 0.6576]"
factual correctness,False,1.8,2,1,0,1,0.5,"[0.0945, 0.9055]"
factual correctness,True,1.8,2,0,0,0,0.0,"[0.0000, 0.6576]"
