item_id,phase,condition,branch,layer,token_id,score,raw_rank
1,post_freeze_smoke,clean_preserved,correctness,38,97817,11.625,44
1,post_freeze_smoke,clean_preserved,correctness,38,99973,12.3125,34
1,post_freeze_smoke,clean_preserved,correctness,38,75075,3.078125,17122
1,post_freeze_smoke,clean_preserved,correctness,40,97817,12.875,29
1,post_freeze_smoke,clean_preserved,correctness,40,99973,13.6875,16
1,post_freeze_smoke,clean_preserved,correctness,40,75075,2.609375,19591
1,post_freeze_smoke,clean_preserved,correctness,42,97817,15.0625,8
1,post_freeze_smoke,clean_preserved,correctness,42,99973,15.5625,5
1,post_freeze_smoke,clean_preserved,correctness,42,75075,2.125,33829
1,post_freeze_smoke,clean_preserved,confidence,38,97817,9.375,117
1,post_freeze_smoke,clean_preserved,confidence,38,99973,12.0,27
1,post_freeze_smoke,clean_preserved,confidence,38,75075,2.78125,23697
1,post_freeze_smoke,clean_preserved,confidence,40,97817,9.8125,89
1,post_freeze_smoke,clean_preserved,confidence,40,99973,12.3125,24
1,post_freeze_smoke,clean_preserved,confidence,40,75075,2.65625,22666
1,post_freeze_smoke,clean_preserved,confidence,42,97817,9.875,80
1,post_freeze_smoke,clean_preserved,confidence,42,99973,12.625,16
1,post_freeze_smoke,clean_preserved,confidence,42,75075,2.890625,17500
1,post_freeze_smoke,targeted_strong_preserved,correctness,38,97817,11.5625,46
1,post_freeze_smoke,targeted_strong_preserved,correctness,38,99973,12.3125,34
1,post_freeze_smoke,targeted_strong_preserved,correctness,38,75075,3.140625,16483
1,post_freeze_smoke,targeted_strong_preserved,correctness,40,97817,12.875,30
1,post_freeze_smoke,targeted_strong_preserved,correctness,40,99973,13.6875,16
1,post_freeze_smoke,targeted_strong_preserved,correctness,40,75075,2.640625,19454
1,post_freeze_smoke,targeted_strong_preserved,correctness,42,97817,15.125,8
1,post_freeze_smoke,targeted_strong_preserved,correctness,42,99973,15.625,6
1,post_freeze_smoke,targeted_strong_preserved,correctness,42,75075,2.0625,35392
1,post_freeze_smoke,targeted_strong_preserved,confidence,38,97817,9.375,122
1,post_freeze_smoke,targeted_strong_preserved,confidence,38,99973,12.0625,26
1,post_freeze_smoke,targeted_strong_preserved,confidence,38,75075,2.796875,23436
1,post_freeze_smoke,targeted_strong_preserved,confidence,40,97817,9.8125,91
1,post_freeze_smoke,targeted_strong_preserved,confidence,40,99973,12.3125,24
1,post_freeze_smoke,targeted_strong_preserved,confidence,40,75075,2.671875,22465
1,post_freeze_smoke,targeted_strong_preserved,confidence,42,97817,9.875,80
1,post_freeze_smoke,targeted_strong_preserved,confidence,42,99973,12.6875,16
1,post_freeze_smoke,targeted_strong_preserved,confidence,42,75075,2.828125,18362
1,post_freeze_smoke,random_strong_preserved,correctness,38,97817,11.625,44
1,post_freeze_smoke,random_strong_preserved,correctness,38,99973,12.375,33
1,post_freeze_smoke,random_strong_preserved,correctness,38,75075,3.0625,17363
1,post_freeze_smoke,random_strong_preserved,correctness,40,97817,12.875,29
1,post_freeze_smoke,random_strong_preserved,correctness,40,99973,13.6875,16
1,post_freeze_smoke,random_strong_preserved,correctness,40,75075,2.5625,20142
1,post_freeze_smoke,random_strong_preserved,correctness,42,97817,15.125,8
1,post_freeze_smoke,random_strong_preserved,correctness,42,99973,15.625,5
1,post_freeze_smoke,random_strong_preserved,correctness,42,75075,2.046875,35531
1,post_freeze_smoke,random_strong_preserved,confidence,38,97817,9.375,119
1,post_freeze_smoke,random_strong_preserved,confidence,38,99973,12.0,28
1,post_freeze_smoke,random_strong_preserved,confidence,38,75075,2.796875,23365
1,post_freeze_smoke,random_strong_preserved,confidence,40,97817,9.8125,89
1,post_freeze_smoke,random_strong_preserved,confidence,40,99973,12.3125,24
1,post_freeze_smoke,random_strong_preserved,confidence,40,75075,2.6875,22190
1,post_freeze_smoke,random_strong_preserved,confidence,42,97817,9.8125,85
1,post_freeze_smoke,random_strong_preserved,confidence,42,99973,12.625,16
1,post_freeze_smoke,random_strong_preserved,confidence,42,75075,2.90625,17425
1,post_freeze_smoke,support_matched_alternative_preserved,correctness,38,97817,11.625,46
1,post_freeze_smoke,support_matched_alternative_preserved,correctness,38,99973,12.3125,35
1,post_freeze_smoke,support_matched_alternative_preserved,correctness,38,75075,3.171875,16332
1,post_freeze_smoke,support_matched_alternative_preserved,correctness,40,97817,12.9375,29
1,post_freeze_smoke,support_matched_alternative_preserved,correctness,40,99973,13.6875,19
1,post_freeze_smoke,support_matched_alternative_preserved,correctness,40,75075,2.640625,19489
1,post_freeze_smoke,support_matched_alternative_preserved,correctness,42,97817,15.1875,8
1,post_freeze_smoke,support_matched_alternative_preserved,correctness,42,99973,15.6875,6
1,post_freeze_smoke,support_matched_alternative_preserved,correctness,42,75075,2.0625,35356
1,post_freeze_smoke,support_matched_alternative_preserved,confidence,38,97817,9.375,116
1,post_freeze_smoke,support_matched_alternative_preserved,confidence,38,99973,12.0,26
1,post_freeze_smoke,support_matched_alternative_preserved,confidence,38,75075,2.765625,23968
1,post_freeze_smoke,support_matched_alternative_preserved,confidence,40,97817,9.8125,88
1,post_freeze_smoke,support_matched_alternative_preserved,confidence,40,99973,12.3125,23
1,post_freeze_smoke,support_matched_alternative_preserved,confidence,40,75075,2.65625,22814
1,post_freeze_smoke,support_matched_alternative_preserved,confidence,42,97817,9.9375,76
1,post_freeze_smoke,support_matched_alternative_preserved,confidence,42,99973,12.75,15
1,post_freeze_smoke,support_matched_alternative_preserved,confidence,42,75075,2.84375,18350
1,post_freeze_smoke,alternative_random_preserved,correctness,38,97817,11.625,43
1,post_freeze_smoke,alternative_random_preserved,correctness,38,99973,12.3125,34
1,post_freeze_smoke,alternative_random_preserved,correctness,38,75075,3.03125,17361
1,post_freeze_smoke,alternative_random_preserved,correctness,40,97817,12.8125,29
1,post_freeze_smoke,alternative_random_preserved,correctness,40,99973,13.625,17
1,post_freeze_smoke,alternative_random_preserved,correctness,40,75075,2.53125,20323
1,post_freeze_smoke,alternative_random_preserved,correctness,42,97817,15.0,8
1,post_freeze_smoke,alternative_random_preserved,correctness,42,99973,15.5,5
1,post_freeze_smoke,alternative_random_preserved,correctness,42,75075,2.046875,35063
1,post_freeze_smoke,alternative_random_preserved,confidence,38,97817,9.375,118
1,post_freeze_smoke,alternative_random_preserved,confidence,38,99973,12.0,27
1,post_freeze_smoke,alternative_random_preserved,confidence,38,75075,2.796875,23555
1,post_freeze_smoke,alternative_random_preserved,confidence,40,97817,9.8125,89
1,post_freeze_smoke,alternative_random_preserved,confidence,40,99973,12.3125,24
1,post_freeze_smoke,alternative_random_preserved,confidence,40,75075,2.65625,22814
1,post_freeze_smoke,alternative_random_preserved,confidence,42,97817,9.875,79
1,post_freeze_smoke,alternative_random_preserved,confidence,42,99973,12.625,16
1,post_freeze_smoke,alternative_random_preserved,confidence,42,75075,2.890625,17755
1,post_freeze_smoke,targeted_strong_reset,correctness,38,97817,11.625,44
1,post_freeze_smoke,targeted_strong_reset,correctness,38,99973,12.3125,34
1,post_freeze_smoke,targeted_strong_reset,correctness,38,75075,3.078125,17122
1,post_freeze_smoke,targeted_strong_reset,correctness,40,97817,12.875,29
1,post_freeze_smoke,targeted_strong_reset,correctness,40,99973,13.6875,16
1,post_freeze_smoke,targeted_strong_reset,correctness,40,75075,2.609375,19591
1,post_freeze_smoke,targeted_strong_reset,correctness,42,97817,15.0625,8
1,post_freeze_smoke,targeted_strong_reset,correctness,42,99973,15.5625,5
1,post_freeze_smoke,targeted_strong_reset,correctness,42,75075,2.125,33829
1,post_freeze_smoke,targeted_strong_reset,confidence,38,97817,9.375,117
1,post_freeze_smoke,targeted_strong_reset,confidence,38,99973,12.0,27
1,post_freeze_smoke,targeted_strong_reset,confidence,38,75075,2.78125,23697
1,post_freeze_smoke,targeted_strong_reset,confidence,40,97817,9.8125,89
1,post_freeze_smoke,targeted_strong_reset,confidence,40,99973,12.3125,24
1,post_freeze_smoke,targeted_strong_reset,confidence,40,75075,2.65625,22666
1,post_freeze_smoke,targeted_strong_reset,confidence,42,97817,9.875,80
1,post_freeze_smoke,targeted_strong_reset,confidence,42,99973,12.625,16
1,post_freeze_smoke,targeted_strong_reset,confidence,42,75075,2.890625,17500
1,post_freeze_smoke,clean_reset,correctness,38,97817,11.625,44
1,post_freeze_smoke,clean_reset,correctness,38,99973,12.3125,34
1,post_freeze_smoke,clean_reset,correctness,38,75075,3.078125,17122
1,post_freeze_smoke,clean_reset,correctness,40,97817,12.875,29
1,post_freeze_smoke,clean_reset,correctness,40,99973,13.6875,16
1,post_freeze_smoke,clean_reset,correctness,40,75075,2.609375,19591
1,post_freeze_smoke,clean_reset,correctness,42,97817,15.0625,8
1,post_freeze_smoke,clean_reset,correctness,42,99973,15.5625,5
1,post_freeze_smoke,clean_reset,correctness,42,75075,2.125,33829
1,post_freeze_smoke,clean_reset,confidence,38,97817,9.375,117
1,post_freeze_smoke,clean_reset,confidence,38,99973,12.0,27
1,post_freeze_smoke,clean_reset,confidence,38,75075,2.78125,23697
1,post_freeze_smoke,clean_reset,confidence,40,97817,9.8125,89
1,post_freeze_smoke,clean_reset,confidence,40,99973,12.3125,24
1,post_freeze_smoke,clean_reset,confidence,40,75075,2.65625,22666
1,post_freeze_smoke,clean_reset,confidence,42,97817,9.875,80
1,post_freeze_smoke,clean_reset,confidence,42,99973,12.625,16
1,post_freeze_smoke,clean_reset,confidence,42,75075,2.890625,17500
1,post_freeze_smoke,targeted_weak_preserved,correctness,38,97817,11.625,45
1,post_freeze_smoke,targeted_weak_preserved,correctness,38,99973,12.3125,34
1,post_freeze_smoke,targeted_weak_preserved,correctness,38,75075,3.140625,16463
1,post_freeze_smoke,targeted_weak_preserved,correctness,40,97817,12.875,29
1,post_freeze_smoke,targeted_weak_preserved,correctness,40,99973,13.6875,16
1,post_freeze_smoke,targeted_weak_preserved,correctness,40,75075,2.640625,19459
1,post_freeze_smoke,targeted_weak_preserved,correctness,42,97817,15.125,8
1,post_freeze_smoke,targeted_weak_preserved,correctness,42,99973,15.625,5
1,post_freeze_smoke,targeted_weak_preserved,correctness,42,75075,2.0625,35164
1,post_freeze_smoke,targeted_weak_preserved,confidence,38,97817,9.375,120
1,post_freeze_smoke,targeted_weak_preserved,confidence,38,99973,12.0,28
1,post_freeze_smoke,targeted_weak_preserved,confidence,38,75075,2.8125,23137
1,post_freeze_smoke,targeted_weak_preserved,confidence,40,97817,9.8125,92
1,post_freeze_smoke,targeted_weak_preserved,confidence,40,99973,12.3125,24
1,post_freeze_smoke,targeted_weak_preserved,confidence,40,75075,2.671875,22389
1,post_freeze_smoke,targeted_weak_preserved,confidence,42,97817,9.875,80
1,post_freeze_smoke,targeted_weak_preserved,confidence,42,99973,12.6875,16
1,post_freeze_smoke,targeted_weak_preserved,confidence,42,75075,2.84375,18205
14,post_freeze_smoke,clean_preserved,correctness,38,97817,11.75,46
14,post_freeze_smoke,clean_preserved,correctness,38,99973,12.6875,31
14,post_freeze_smoke,clean_preserved,correctness,38,75075,2.890625,18337
14,post_freeze_smoke,clean_preserved,correctness,40,97817,13.1875,28
14,post_freeze_smoke,clean_preserved,correctness,40,99973,14.0625,14
14,post_freeze_smoke,clean_preserved,correctness,40,75075,2.359375,21666
14,post_freeze_smoke,clean_preserved,correctness,42,97817,15.1875,8
14,post_freeze_smoke,clean_preserved,correctness,42,99973,15.8125,4
14,post_freeze_smoke,clean_preserved,correctness,42,75075,1.703125,40739
14,post_freeze_smoke,clean_preserved,confidence,38,97817,9.375,115
14,post_freeze_smoke,clean_preserved,confidence,38,99973,12.125,26
14,post_freeze_smoke,clean_preserved,confidence,38,75075,2.734375,24952
14,post_freeze_smoke,clean_preserved,confidence,40,97817,9.75,86
14,post_freeze_smoke,clean_preserved,confidence,40,99973,12.3125,22
14,post_freeze_smoke,clean_preserved,confidence,40,75075,2.609375,23350
14,post_freeze_smoke,clean_preserved,confidence,42,97817,9.875,78
14,post_freeze_smoke,clean_preserved,confidence,42,99973,12.625,17
14,post_freeze_smoke,clean_preserved,confidence,42,75075,2.84375,17802
14,post_freeze_smoke,targeted_strong_preserved,correctness,38,97817,11.8125,45
14,post_freeze_smoke,targeted_strong_preserved,correctness,38,99973,12.75,30
14,post_freeze_smoke,targeted_strong_preserved,correctness,38,75075,2.90625,18341
14,post_freeze_smoke,targeted_strong_preserved,correctness,40,97817,13.25,28
14,post_freeze_smoke,targeted_strong_preserved,correctness,40,99973,14.125,14
14,post_freeze_smoke,targeted_strong_preserved,correctness,40,75075,2.359375,21907
14,post_freeze_smoke,targeted_strong_preserved,correctness,42,97817,15.3125,8
14,post_freeze_smoke,targeted_strong_preserved,correctness,42,99973,15.875,5
14,post_freeze_smoke,targeted_strong_preserved,correctness,42,75075,1.6484375,41976
14,post_freeze_smoke,targeted_strong_preserved,confidence,38,97817,9.375,119
14,post_freeze_smoke,targeted_strong_preserved,confidence,38,99973,12.125,26
14,post_freeze_smoke,targeted_strong_preserved,confidence,38,75075,2.734375,25014
14,post_freeze_smoke,targeted_strong_preserved,confidence,40,97817,9.75,88
14,post_freeze_smoke,targeted_strong_preserved,confidence,40,99973,12.3125,23
14,post_freeze_smoke,targeted_strong_preserved,confidence,40,75075,2.59375,23677
14,post_freeze_smoke,targeted_strong_preserved,confidence,42,97817,9.875,78
14,post_freeze_smoke,targeted_strong_preserved,confidence,42,99973,12.6875,17
14,post_freeze_smoke,targeted_strong_preserved,confidence,42,75075,2.78125,18625
14,post_freeze_smoke,random_strong_preserved,correctness,38,97817,11.75,46
14,post_freeze_smoke,random_strong_preserved,correctness,38,99973,12.6875,31
14,post_freeze_smoke,random_strong_preserved,correctness,38,75075,2.875,18405
14,post_freeze_smoke,random_strong_preserved,correctness,40,97817,13.125,28
14,post_freeze_smoke,random_strong_preserved,correctness,40,99973,14.0,16
14,post_freeze_smoke,random_strong_preserved,correctness,40,75075,2.34375,21674
14,post_freeze_smoke,random_strong_preserved,correctness,42,97817,15.1875,8
14,post_freeze_smoke,random_strong_preserved,correctness,42,99973,15.75,5
14,post_freeze_smoke,random_strong_preserved,correctness,42,75075,1.6953125,40506
14,post_freeze_smoke,random_strong_preserved,confidence,38,97817,9.375,116
14,post_freeze_smoke,random_strong_preserved,confidence,38,99973,12.0625,26
14,post_freeze_smoke,random_strong_preserved,confidence,38,75075,2.71875,25317
14,post_freeze_smoke,random_strong_preserved,confidence,40,97817,9.75,88
14,post_freeze_smoke,random_strong_preserved,confidence,40,99973,12.3125,22
14,post_freeze_smoke,random_strong_preserved,confidence,40,75075,2.59375,23770
14,post_freeze_smoke,random_strong_preserved,confidence,42,97817,9.875,77
14,post_freeze_smoke,random_strong_preserved,confidence,42,99973,12.625,16
14,post_freeze_smoke,random_strong_preserved,confidence,42,75075,2.828125,18092
14,post_freeze_smoke,support_matched_alternative_preserved,correctness,38,97817,11.625,48
14,post_freeze_smoke,support_matched_alternative_preserved,correctness,38,99973,12.5625,32
14,post_freeze_smoke,support_matched_alternative_preserved,correctness,38,75075,2.875,18309
14,post_freeze_smoke,support_matched_alternative_preserved,correctness,40,97817,13.1875,29
14,post_freeze_smoke,support_matched_alternative_preserved,correctness,40,99973,14.0625,16
14,post_freeze_smoke,support_matched_alternative_preserved,correctness,40,75075,2.3125,22155
14,post_freeze_smoke,support_matched_alternative_preserved,correctness,42,97817,15.125,9
14,post_freeze_smoke,support_matched_alternative_preserved,correctness,42,99973,15.6875,6
14,post_freeze_smoke,support_matched_alternative_preserved,correctness,42,75075,1.6328125,41120
14,post_freeze_smoke,support_matched_alternative_preserved,confidence,38,97817,9.25,122
14,post_freeze_smoke,support_matched_alternative_preserved,confidence,38,99973,11.9375,26
14,post_freeze_smoke,support_matched_alternative_preserved,confidence,38,75075,2.65625,26055
14,post_freeze_smoke,support_matched_alternative_preserved,confidence,40,97817,9.625,94
14,post_freeze_smoke,support_matched_alternative_preserved,confidence,40,99973,12.1875,24
14,post_freeze_smoke,support_matched_alternative_preserved,confidence,40,75075,2.546875,24310
14,post_freeze_smoke,support_matched_alternative_preserved,confidence,42,97817,9.8125,78
14,post_freeze_smoke,support_matched_alternative_preserved,confidence,42,99973,12.5625,18
14,post_freeze_smoke,support_matched_alternative_preserved,confidence,42,75075,2.765625,18701
14,post_freeze_smoke,alternative_random_preserved,correctness,38,97817,11.75,47
14,post_freeze_smoke,alternative_random_preserved,correctness,38,99973,12.6875,31
14,post_freeze_smoke,alternative_random_preserved,correctness,38,75075,2.90625,18319
14,post_freeze_smoke,alternative_random_preserved,correctness,40,97817,13.125,28
14,post_freeze_smoke,alternative_random_preserved,correctness,40,99973,14.0625,15
14,post_freeze_smoke,alternative_random_preserved,correctness,40,75075,2.375,21538
14,post_freeze_smoke,alternative_random_preserved,correctness,42,97817,15.125,7
14,post_freeze_smoke,alternative_random_preserved,correctness,42,99973,15.75,4
14,post_freeze_smoke,alternative_random_preserved,correctness,42,75075,1.703125,41199
14,post_freeze_smoke,alternative_random_preserved,confidence,38,97817,9.375,116
14,post_freeze_smoke,alternative_random_preserved,confidence,38,99973,12.0625,26
14,post_freeze_smoke,alternative_random_preserved,confidence,38,75075,2.734375,25128
14,post_freeze_smoke,alternative_random_preserved,confidence,40,97817,9.75,87
14,post_freeze_smoke,alternative_random_preserved,confidence,40,99973,12.3125,22
14,post_freeze_smoke,alternative_random_preserved,confidence,40,75075,2.625,23513
14,post_freeze_smoke,alternative_random_preserved,confidence,42,97817,9.875,77
14,post_freeze_smoke,alternative_random_preserved,confidence,42,99973,12.625,15
14,post_freeze_smoke,alternative_random_preserved,confidence,42,75075,2.859375,17895
14,post_freeze_smoke,targeted_strong_reset,correctness,38,97817,11.75,46
14,post_freeze_smoke,targeted_strong_reset,correctness,38,99973,12.6875,31
14,post_freeze_smoke,targeted_strong_reset,correctness,38,75075,2.890625,18337
14,post_freeze_smoke,targeted_strong_reset,correctness,40,97817,13.1875,28
14,post_freeze_smoke,targeted_strong_reset,correctness,40,99973,14.0625,14
14,post_freeze_smoke,targeted_strong_reset,correctness,40,75075,2.359375,21666
14,post_freeze_smoke,targeted_strong_reset,correctness,42,97817,15.1875,8
14,post_freeze_smoke,targeted_strong_reset,correctness,42,99973,15.8125,4
14,post_freeze_smoke,targeted_strong_reset,correctness,42,75075,1.703125,40739
14,post_freeze_smoke,targeted_strong_reset,confidence,38,97817,9.375,115
14,post_freeze_smoke,targeted_strong_reset,confidence,38,99973,12.125,26
14,post_freeze_smoke,targeted_strong_reset,confidence,38,75075,2.734375,24952
14,post_freeze_smoke,targeted_strong_reset,confidence,40,97817,9.75,86
14,post_freeze_smoke,targeted_strong_reset,confidence,40,99973,12.3125,22
14,post_freeze_smoke,targeted_strong_reset,confidence,40,75075,2.609375,23350
14,post_freeze_smoke,targeted_strong_reset,confidence,42,97817,9.875,78
14,post_freeze_smoke,targeted_strong_reset,confidence,42,99973,12.625,17
14,post_freeze_smoke,targeted_strong_reset,confidence,42,75075,2.84375,17802
14,post_freeze_smoke,clean_reset,correctness,38,97817,11.75,46
14,post_freeze_smoke,clean_reset,correctness,38,99973,12.6875,31
14,post_freeze_smoke,clean_reset,correctness,38,75075,2.890625,18337
14,post_freeze_smoke,clean_reset,correctness,40,97817,13.1875,28
14,post_freeze_smoke,clean_reset,correctness,40,99973,14.0625,14
14,post_freeze_smoke,clean_reset,correctness,40,75075,2.359375,21666
14,post_freeze_smoke,clean_reset,correctness,42,97817,15.1875,8
14,post_freeze_smoke,clean_reset,correctness,42,99973,15.8125,4
14,post_freeze_smoke,clean_reset,correctness,42,75075,1.703125,40739
14,post_freeze_smoke,clean_reset,confidence,38,97817,9.375,115
14,post_freeze_smoke,clean_reset,confidence,38,99973,12.125,26
14,post_freeze_smoke,clean_reset,confidence,38,75075,2.734375,24952
14,post_freeze_smoke,clean_reset,confidence,40,97817,9.75,86
14,post_freeze_smoke,clean_reset,confidence,40,99973,12.3125,22
14,post_freeze_smoke,clean_reset,confidence,40,75075,2.609375,23350
14,post_freeze_smoke,clean_reset,confidence,42,97817,9.875,78
14,post_freeze_smoke,clean_reset,confidence,42,99973,12.625,17
14,post_freeze_smoke,clean_reset,confidence,42,75075,2.84375,17802
14,post_freeze_smoke,targeted_weak_preserved,correctness,38,97817,11.8125,44
14,post_freeze_smoke,targeted_weak_preserved,correctness,38,99973,12.6875,31
14,post_freeze_smoke,targeted_weak_preserved,correctness,38,75075,2.90625,18253
14,post_freeze_smoke,targeted_weak_preserved,correctness,40,97817,13.25,28
14,post_freeze_smoke,targeted_weak_preserved,correctness,40,99973,14.125,14
14,post_freeze_smoke,targeted_weak_preserved,correctness,40,75075,2.359375,21840
14,post_freeze_smoke,targeted_weak_preserved,correctness,42,97817,15.3125,8
14,post_freeze_smoke,targeted_weak_preserved,correctness,42,99973,15.9375,4
14,post_freeze_smoke,targeted_weak_preserved,correctness,42,75075,1.65625,41553
14,post_freeze_smoke,targeted_weak_preserved,confidence,38,97817,9.375,118
14,post_freeze_smoke,targeted_weak_preserved,confidence,38,99973,12.125,26
14,post_freeze_smoke,targeted_weak_preserved,confidence,38,75075,2.71875,25415
14,post_freeze_smoke,targeted_weak_preserved,confidence,40,97817,9.75,86
14,post_freeze_smoke,targeted_weak_preserved,confidence,40,99973,12.3125,23
14,post_freeze_smoke,targeted_weak_preserved,confidence,40,75075,2.578125,23903
14,post_freeze_smoke,targeted_weak_preserved,confidence,42,97817,9.875,78
14,post_freeze_smoke,targeted_weak_preserved,confidence,42,99973,12.6875,15
14,post_freeze_smoke,targeted_weak_preserved,confidence,42,75075,2.78125,18574
